		Total RNA				Ribosome-footprinted RNA			
	rpmC	23764	20871.3	-0.187252	0.86985	23602.3	21584.9	-0.128901	0.89975
	rpmD	34408.4	32237.3	-0.0940298	0.8199	23852.9	21209.1	-0.169478	0.6819
	rpmE	3230.87	3031.67	-0.0918093	0.79215	26585.8	25023.9	-0.0873496	0.8397
	rpmF	14658.9	13158.4	-0.155794	0.67315	87335.3	71632	-0.285962	0.5315
	rpmG	17620.9	14765.7	-0.255033	0.51075	77582.1	57085	-0.442612	0.32235
	rpmH	17980.2	16297.5	-0.141751	0.68895	80451.4	76431.8	-0.0739443	0.8606
	rpmI	24184.9	22310.6	-0.116376	0.7748	98705.7	77925.9	-0.341029	0.4691
	rpmJ	125647	116020	-0.114992	0.77465	593717	401765	-0.563425	0.25175
	rpoA	6559.36	6062.44	-0.113657	0.8559	1389.54	1233.3	-0.172079	0.69025
	rpoB	714.42	644.756	-0.148018	0.77725	394.189	312.503	-0.335018	0.4423
	rpoC	1159.91	1055.83	-0.135638	0.8145	795.243	708.031	-0.167582	0.73005
	rpoD	237.614	233.411	-0.0257483	0.94605	392.246	376.524	-0.0590141	0.8857
	rpoE	272.599	300.035	0.138351	0.6879	78.9118	75.3783	-0.0660916	0.8665
	rpoH	672.078	701.208	0.0612143	0.8736	740.751	790.897	0.0944997	0.8185
	rpoN	103.91	104.212	0.00419397	0.9913	31.2262	26.5672	-0.233111	0.5569
	rpoS	581.578	565.55	-0.0403172	0.91755	834.958	801.563	-0.0588871	0.8868
	rpoZ	1003.45	861.979	-0.219238	0.5295	6023.56	5012.03	-0.265222	0.511
	rppH	124.631	114.87	-0.117664	0.73125	80.0817	68.9862	-0.215165	0.6079
	rpsA	1981.84	1923.38	-0.0431962	0.9314	833.834	660.978	-0.335159	0.43535
	rpsB	2994.6	2867.95	-0.0623427	0.9086	8529.22	7201.23	-0.244171	0.6335
	rpsC	4790.56	4183.7	-0.195416	0.6959	5223.07	4223.53	-0.306451	0.50915
	rpsD	7176.31	6518.37	-0.138731	0.78655	6573.29	5746.07	-0.19404	0.67935
	rpsE	5220.56	4766.47	-0.131283	0.775	4387.94	3610.57	-0.281317	0.5253
	rpsF	1518.28	1336.27	-0.184224	0.6204	13412.3	10886.2	-0.301055	0.5266
	rpsG	4122.77	3861.46	-0.0944647	0.8351	11290.4	10137.3	-0.155422	0.7575
	rpsH	5416.36	4786.85	-0.178246	0.676	7616.61	6216.1	-0.293138	0.5086
	rpsI	5797.84	5172.06	-0.164777	0.69995	5632.02	5337.75	-0.0774204	0.8554
	rpsJ	11535.3	9785.1	-0.237396	0.59765	21056.4	16184.1	-0.37968	0.42035
	rpsK	8637.59	8333.31	-0.0517384	0.911	8796.89	8814.11	0.00282195	0.99535
	rpsL	5050.74	4739.87	-0.0916476	0.8267	16364.1	12858.9	-0.347774	0.4618
	rpsM	10774.1	10056.5	-0.0994335	0.8295	12138.2	10673.6	-0.185509	0.68015
	rpsN	7612.07	6683.27	-0.187733	0.6522	20520.3	16410.5	-0.322432	0.48025
	rpsO	8056.62	7700.28	-0.065264	0.8711	41082.8	25385.2	-0.694549	0.15815
	rpsP	6234.31	5692.29	-0.13122	0.73025	20021.8	17864.7	-0.164457	0.7018
	rpsQ	14221.8	12125.5	-0.23005	0.80125	12520.7	11100.7	-0.173657	0.84265
	rpsR	3295.09	2873.13	-0.197695	0.57165	13560.4	10673.6	-0.345343	0.4103
	rpsS	35321.2	32317.1	-0.128235	0.73685	34986.6	25351.1	-0.464755	0.25435
	rpsT	10315.3	8479.93	-0.282666	0.4563	41427.2	28657.1	-0.531686	0.209
	rpsU	10066.5	9449.33	-0.09128	0.811	61860	50868.7	-0.282227	0.5289
	rraA	355.445	336.959	-0.0770547	0.8292	253.421	243.272	-0.0589649	0.8798
	rraB	237.745	217.609	-0.127679	0.707	777.078	811.749	0.0629745	0.8818
	rsd	60.4934	67.0931	0.149387	0.67405	53.9643	53.9398	-0.000656473	0.99905
	rseA	354.544	367.9	0.0533489	0.9131	249.749	258.535	0.0498806	0.913
	rseB	91.342	92.2322	0.0139917	0.9862	40.4166	42.4463	0.0706894	0.94105
	rseC	84.4566	74.2238	-0.186328	0.898	24.3337	27.7196	0.187947	0.9306
	rseP	210.128	196.993	-0.0931238	0.7957	35.0422	31.0298	-0.175443	0.6618
	rsgA	76.8176	67.9705	-0.176528	0.60415	32.9101	29.2389	-0.170642	0.6737
	rsmA	128.538	124.828	-0.0422535	0.95855	141.516	133.686	-0.0821116	0.92815
	rsmB	45.434	43.1989	-0.0727779	0.82855	37.2568	32.7892	-0.184285	0.6435
	rsmC	50.6192	51.7009	0.0305054	0.9302	78.47	79.3763	0.0165679	0.96575
	rsmD	23.3982	20.8315	-0.167634	0.6934	32.6997	33.1287	0.0188051	0.97095
	rsmE	50.0691	51.539	0.0417427	0.9078	14.1859	14.0752	-0.0112999	0.9809
	rsmF	6.33868	5.15123	-0.299266	0.4188	8.9995	6.30047	-0.514387	0.24605
	rsmG	45.3308	44.2925	-0.0334314	0.92375	32.447	29.1589	-0.154147	0.7212
	rspA	1.74407	1.53803	-0.181375	0.67015	3.10555	3.89501	0.326777	0.5118
	rspB	1.05621	0.930165	-0.183343	0.711	4.94951	3.57246	-0.470366	0.3476
	rssA	22.8997	21.8314	-0.0689237	0.85	21.4766	21.19	-0.0193819	0.9643
	rssB	18.717	17.7762	-0.0744043	0.83525	7.9388	6.14636	-0.369188	0.41855
	rstA	20.1791	21.3917	0.0841889	0.81195	31.4593	31.7169	0.0117658	0.9785
	rstB	9.4891	8.52522	-0.154534	0.6714	8.44449	9.39077	0.153234	0.73145
	rsuA	34.1	28.9723	-0.235094	0.5149	83.326	64.5755	-0.367779	0.3667
	rsxA	41.9516	38.786	-0.113191	0.8787	19.6253	15.1453	-0.373846	0.7017
	rsxB	48.9896	40.8886	-0.260776	0.7158	16.4065	13.0393	-0.331396	0.76635
	rsxC	18.8658	15.3991	-0.292928	0.5439	12.2866	10.1101	-0.281292	0.58325
	rsxD	16.786	15.1405	-0.148847	0.67655	8.644	7.51673	-0.201594	0.66645
	rsxE	16.117	15.3462	-0.0707053	0.88105	16.5889	13.848	-0.260539	0.6728
	rsxG	21.1456	18.0535	-0.228077	0.54215	38.2674	32.823	-0.221406	0.6082
	rtcA	12.9251	11.5961	-0.156538	0.6678	2.95226	3.23867	0.133579	0.7931
	rtcB	8.39799	7.16577	-0.228924	0.53945	16.3598	15.6873	-0.0605561	0.88615
	rtcR	6.04123	4.57115	-0.402284	0.5607	1.05794	1.01947	-0.0534419	0.9778
	rtn	4.68759	3.87054	-0.276311	0.47355	3.5444	2.95396	-0.262891	0.5792
	rumA	61.195	63.3204	0.0492569	0.88345	16.6307	15.2664	-0.123492	0.7665
	rumB	21.4986	20.9542	-0.037002	0.91615	8.08189	7.60885	-0.0870142	0.8498
	rusA	2.99735	2.00765	-0.57818	0.4	0.442154	0.114953	-1.94351	0.513
	rutA	1.01016	0.536518	-0.912888	0.14935	0.0613838	0.0348765	-0.815603	1
	rutB	1.0057	0.753823	-0.415901	0.5873	0.0392942	0.251007	2.67534	1
	rutC	2.1114	2.2853	0.114179	0.84045	0.379232	0.2006	-0.91876	0.6389
	rutD	1.95699	1.37428	-0.50996	0.28625	0.139792	0.253603	0.859288	0.5362
	rutE	2.69175	1.6826	-0.677852	0.1663	0.124706	0.0797176	-0.645563	1
	rutF	3.09248	1.85782	-0.735154	0.1513	1.51007	1.26842	-0.251581	0.7697
	rutG	3.62976	2.77386	-0.387983	0.3279	0.156214	0.25878	0.728206	0.509
	rutR	21.264	23.8344	0.164627	0.6477	35.5423	27.1108	-0.390669	0.3642
	ruvA	56.4715	53.2292	-0.0853037	0.8052	130.063	124.745	-0.0602214	0.8808
	ruvB	41.696	36.8245	-0.179242	0.60855	30.4518	27.805	-0.13118	0.7564
	ruvC	239.346	201.163	-0.250737	0.4646	34.1344	24.8588	-0.457472	0.3054
	rzpD	66.292	83.8967	0.339781	0.36235	19.5491	13.1225	-0.575058	0.29475
	rzpQ	0.804505	0.242403	-1.73069	0.0763	0.189775	0.242625	0.354437	1
	rzpR	76.243	88.6766	0.217948	0.54985	26.4591	20.3741	-0.377031	0.47555
	sad	5.05914	4.75865	-0.0883418	0.82165	7.64266	9.19585	0.266908	0.54855
	sanA	8.40469	7.72309	-0.122016	0.75525	9.69346	7.94836	-0.286354	0.55505
	sapA	16.0995	15.7386	-0.032706	0.9529	17.0676	14.432	-0.241984	0.69345
	sapB	13.3897	13.2437	-0.0158078	0.98495	10.1195	9.76864	-0.0509108	0.9632
	sapC	16.1518	15.4618	-0.0629895	0.93575	13.8629	11.7479	-0.23883	0.8141
	sapD	14.1888	13.9748	-0.0219272	0.9787	17.9298	14.8433	-0.272549	0.7352
	sapF	12.6469	11.1394	-0.183112	0.6276	14.3367	12.7691	-0.167051	0.7161
	sbcB	13.2937	13.9164	0.066052	0.85465	16.84	17.6261	0.0658196	0.8746
	sbcC	22.0127	19.3512	-0.185917	0.65405	8.1889	8.72088	0.0908051	0.86745
	sbcD	25.4	24.5326	-0.0501245	0.94135	18.1349	18.731	0.046653	0.94
	sbmA	11.3292	10.3587	-0.129211	0.72415	15.067	8.07837	-0.899253	0.04295
	sbmC	26.1343	23.3266	-0.163969	0.66765	94.2253	87.7503	-0.10271	0.79805
	sbp	5.30892	4.24571	-0.322414	0.408	0.586957	0.204813	-1.51895	0.18135
	scpA	3.93337	3.28997	-0.257692	0.5336	0.128142	0.166074	0.374083	1
	scpB	2.39776	1.78675	-0.424349	0.3524	5.76458	6.39708	0.150198	0.76515
	scpC	2.70194	2.13868	-0.337275	0.473	0.353737	0.517476	0.548814	0.63725
	sdaA	169.135	159.983	-0.0802572	0.82645	224.789	202.376	-0.151537	0.70615
	sdaB	385.432	385.174	-0.000967521	0.998	455.468	444.128	-0.0363719	0.9292
	sdaC	469.017	477.049	0.0244971	0.95275	590.704	569.519	-0.0526906	0.9012
	sdhA	193.952	383.596	0.983892	0.03235	124.296	468.65	1.91474	0.00095
	sdhB	236.748	462.38	0.965731	1.33E-02	101.419	336.308	1.72945	0.00005
	sdhC	140.64	277.2	0.978919	0.7361	454.902	1586.62	1.80232	0.19025
	sdhD	230.069	446.558	0.956782	0.54435	221.824	773.244	1.80151	0.26075
	sdiA	14.0978	17.1567	0.283305	0.44345	15.651	16.3409	0.0622304	0.8923
	secA	229.908	240.389	0.0643121	0.8744	278.355	292.89	0.0734291	0.86115
	secB	529.527	563.546	0.0898283	0.8815	2263.15	2083.4	-0.11939	0.78965
	secD	117.46	123.398	0.0711439	0.84125	63.9078	61.2898	-0.0603439	0.8838
	secE	796.408	685.837	-0.215643	0.54805	1077.94	939.98	-0.197578	0.6419
	secF	156.152	171.542	0.135605	0.7018	73.8364	67.4544	-0.130419	0.7379
	secG	1034.57	967.053	-0.0973612	0.7821	2275.69	1772.53	-0.360491	0.36345
	secM	220.287	250.235	0.183897	0.58785	151.361	192.406	0.346159	0.3792
	secY	4194.75	4065.33	-0.0452118	0.93935	240.988	205.346	-0.230903	0.5666
	selA	27.6617	28.3933	0.0376594	0.9485	8.91237	10.2508	0.201849	0.83185
	selB	33.1989	34.7782	0.0670469	0.87515	31.7284	33.0423	0.0585387	0.89295
	selD	140.633	141.893	0.0128655	0.96885	252.338	265.315	0.0723499	0.8527
	selU	16.7692	14.4288	-0.216864	0.5381	13.4992	15.6523	0.213507	0.6296
	seqA	32.6538	43.4648	0.412596	1	166.797	111.663	-0.578944	1
	serA	52.0627	56.4583	0.116935	0.7435	30.2714	29.6622	-0.0293311	0.9435
	serB	71.7397	73.8626	0.0420727	0.9039	30.0794	27.9611	-0.105355	0.8018
	serC	46.3908	60.0708	0.372824	0.2837	44.3625	49.7157	0.164361	0.6799
	serS	279.444	290.958	0.0582476	0.8788	276.234	300.638	0.122138	0.7647
	setA	10.5395	9.64281	-0.128277	0.7287	7.68241	7.93225	0.0461711	0.91585
	setB	2.72608	2.4621	-0.146935	0.7982	0.33452	0.27214	-0.297741	0.80435
	setC	1.41061	1.02357	-0.462713	0.3121	0.214902	0.220964	0.0401293	0.97475
	sfmA	1.32608	0.920972	-0.525938	0.37445	1.5575	2.19889	0.497545	0.5128
	sfmC	0.727519	0.427797	-0.766058	0.2655	0.62514	0.978653	0.646618	0.4783
	sfmD	1.11489	0.692801	-0.686382	0.10715	0.0889899	0.0995324	0.161525	1
	sfmF	2.85789	1.33132	-1.10209	0.0634	0.51909	0.387129	-0.423171	0.77785
	sfmH	0.660513	0.243294	-1.44089	0.03545	0.106364	0.107931	0.0210999	1
	sfsA	44.8147	44.8271	0.000397965	0.9995	20.7526	19.15	-0.11595	0.7894
	sfsB	28.1945	23.9796	-0.233608	0.5699	42.548	37.4643	-0.183573	0.71815
	sgcA	11.0463	8.68696	-0.346639	0.39625	12.9518	13.8076	0.0923092	0.8539
	sgcB	10.4782	8.72749	-0.263753	0.7886	7.33147	5.71795	-0.358603	0.80425
	sgcC	2.52516	1.89998	-0.410395	0.3143	0.719609	0.644466	-0.159109	0.82335
	sgcE	3.98978	3.03869	-0.392857	0.37165	3.1271	1.53247	-1.02897	0.1469
	sgcQ	16.0009	15.2322	-0.0710348	0.8518	4.96472	5.89473	0.247713	0.6253
	sgcR	3.49057	2.93139	-0.251873	0.55105	1.00676	1.01918	0.0176842	0.98495
	sgcX	4.65543	4.46593	-0.0599553	0.8858	2.33709	2.394	0.0347107	0.9508
	sgrR	7.38778	7.06223	-0.0650168	0.86155	7.7217	7.8725	0.0279024	0.94965
	sgrT	783.232	1241.29	0.664333	0.07525	25.587	28.4448	0.152751	0.8902
	shiA	11.0271	9.2099	-0.259794	0.47545	14.3116	5.44491	-1.3942	0.0022
	sieB	2.31728	1.90402	-0.283383	0.57055	3.346	2.33613	-0.518321	0.4273
	sirA	127.745	137.737	0.108654	0.7714	77.4648	78.3733	0.0168224	0.9708
	sixA	240.899	229.514	-0.0698467	0.84	160.678	174.588	0.119783	0.7614
	skp	867.253	838.321	-0.0489495	0.89015	3356.35	3219.51	-0.0600537	0.88485
	slmA	117.979	107.755	-0.13078	0.6986	127.117	107.763	-0.238294	0.5644
	slp	3.90408	3.44558	-0.180236	0.68895	6.25289	6.00365	-0.0586829	0.91585
	slt	13.6502	13.683	0.00346184	0.99225	17.5404	17.4407	-0.00822009	0.98235
	slyA	129.077	121.293	-0.0897366	0.7927	301.181	277.27	-0.119338	0.7674
	slyB	714.477	696.223	-0.0373388	0.919	3076.43	2821.54	-0.124773	0.7786
	slyD	966.054	903.878	-0.0959764	0.7987	3521.57	3016.56	-0.223315	0.6122
	slyX	352.145	327.813	-0.103297	0.77385	754.955	1022.15	0.43715	0.2852
	smf	28.2163	26.107	-0.112095	0.8433	3.82769	4.28202	0.161819	0.8643
	smg	138.059	125.364	-0.13916	0.7647	56.4335	45.0912	-0.323706	0.49375
	smpA	542.186	567.805	0.0666072	0.8458	1742.76	1468.58	-0.246953	0.5402
	smpB	87.741	74.2608	-0.240649	0.5035	533.9	422.072	-0.339077	0.3922
	smtA	155.158	153.418	-0.0162739	0.98035	33.5046	34.5142	0.0428288	0.96505
	sodA	201.131	304.854	0.59998	0.11275	1035.99	1884.19	0.862933	0.063
	sodB	141.912	416.082	1.55187	5.00E-05	585.142	3175.65	2.44019	5.00E-05
	sodC	14.2427	14.7732	0.0527601	0.891	20.2137	23.2655	0.202864	0.65685
	sohA	249.748	303.704	0.282193	0.7066	888.036	783.992	-0.179779	0.766
	sohB	58.0698	51.519	-0.172684	0.61125	74.313	63.7237	-0.221785	0.57645
	solA	15.8045	16.9759	0.103152	0.77715	37.0779	36.8517	-0.00882977	0.9842
	soxR	16.0458	16.1043	0.00525501	0.98925	48.1301	60.4219	0.328132	0.44245
	soxS	137.001	111.409	-0.298322	0.42695	882.446	748.257	-0.237975	0.5685
	speA	284.171	257.262	-0.143521	0.7096	167.786	125.45	-0.419508	0.30715
	speB	76.983	67.8091	-0.183062	0.6016	206.949	177.506	-0.221411	0.576
	speC	12.0089	10.5026	-0.19336	0.58125	4.66582	3.65474	-0.352363	0.44075
	speD	79.4689	82.4344	0.052855	0.87695	312.249	251.991	-0.309322	0.46005
	speE	109.29	107.806	-0.0197148	0.9537	352.361	354.759	0.0097854	0.9829
	speF	1.69931	1.11635	-0.606158	0.36145	0.232329	0.195839	-0.246501	0.81675
	speG	25.3354	25.3693	0.0019265	0.9965	227.072	185.987	-0.287945	0.46965
	spoT	68.5954	58.5835	-0.227616	0.5233	28.183	24.6386	-0.193906	0.6217
	sppA	13.5978	14.4388	0.0865758	0.8018	19.7924	19.343	-0.0331329	0.93615
	spr	694.237	699.312	0.0105072	0.9783	1593.54	1381.46	-0.206039	0.6158
	spy	19.461	18.0996	-0.104629	0.79575	75.943	78.3418	0.0448656	0.91855
	sra	128.11	110.927	-0.207776	0.67455	2289.68	2011.46	-0.186906	0.66645
	srlA	217.896	283.874	0.381612	0.60655	1067.5	1074.42	0.0093222	0.9909
	srlB	463.292	604.716	0.384338	0.27785	1342.7	1701.56	0.341723	0.40425
	srlD	484.789	608.861	0.328756	0.38525	1438.96	1778.38	0.305538	0.4802
	srlE	219.152	266.363	0.281462	0.5771	617.843	680.346	0.139027	0.83365
	srlR	58.9427	63.7586	0.113307	0.88455	32.527	31.7313	-0.0357315	0.9683
	srmB	26.7958	23.8703	-0.166793	0.62445	74.4982	69.3355	-0.103612	0.79135
	ssb	302.898	264.714	-0.194395	0.5704	966.323	982.059	0.0233043	0.9527
	sseA	67.4262	63.3248	-0.0905384	0.80265	447.673	399.675	-0.163617	0.69785
	sseB	53.0808	67.0906	0.337922	0.3304	56.3636	66.6766	0.242418	0.54625
	ssnA	1.74092	1.2843	-0.438873	0.3113	0.0657198	0.0275465	-1.25446	1
	sspA	311.875	303.548	-0.0390398	0.9215	618.857	562.823	-0.136924	0.7459
	sspB	477.432	453.935	-0.0728086	0.83615	183.434	193.319	0.0757177	0.84875
	sstT	33.189	27.3579	-0.27875	0.43975	6.53898	3.96414	-0.722057	0.132
	ssuA	1.73374	0.92803	-0.901648	0.2563	0.121698	0.490868	2.01203	0.39355
	ssuB	4.3249	4.25878	-0.0222252	0.96625	0.906932	1.00277	0.144926	0.8639
	ssuC	3.43073	1.51919	-1.17522	0.12485	0.21393	0.289021	0.434036	0.80885
	ssuD	1.64218	1.13287	-0.535635	0.3909	1.0945	1.54122	0.493805	0.4536
	ssuE	1.71661	1.14876	-0.579486	0.5494	0.168609	0.464055	1.46062	0.59315
	stfE	0	0	0	1	0	0	0	1
	stfP	0.0967365	0.0122806	-2.97768	1	0	0	0	1
	stfQ	1.56328	1.1507	-0.442069	0.5043	0.00985773	0.183517	4.21852	0.3084
	stfR	1.32708	1.04284	-0.347744	0.44125	0.148098	0.0726155	-1.0282	1
	sthA	89.5477	91.5371	0.0317011	0.9419	148.66	163.069	0.133464	0.78445
	stpA	94.927	101.859	0.101679	0.792	488.32	525.04	0.104601	0.8062
	sucA	300.791	377.625	0.32819	0.44145	252.551	254.876	0.0132202	0.97465
	sucB	476.995	587.73	0.301179	0.45815	815.841	948.432	0.217255	0.6163
	sucC	536.014	660.839	0.302027	0.6132	848.53	880.739	0.0537487	0.9228
	sucD	520.868	641.408	0.300325	0.67895	615.961	721.306	0.227771	0.7631
	sufA	12.8742	19.6907	0.613033	0.13995	15.7995	39.8484	1.33465	0.00945
	sufB	7.51846	11.8459	0.655877	0.0769	3.2013	12.8297	2.00276	0.0002
	sufC	6.34067	10.258	0.694036	0.40995	12.5293	18.6589	0.57455	0.4836
	sufD	7.97878	12.2729	0.62124	0.2418	7.56288	12.76	0.754618	0.2637
	sufE	5.4236	5.90702	0.12318	0.78755	6.77676	12.2628	0.855623	0.12515
	sufS	6.6996	8.50068	0.343505	0.5811	3.84529	7.78109	1.01688	0.2821
	sugE	76.7423	61.3191	-0.323684	0.4581	110.655	85.4002	-0.37376	0.45615
	suhB	97.6322	73.9441	-0.400921	0.2723	194.572	107.845	-0.851348	0.03365
	sulA	40.5393	38.8767	-0.0604164	0.86965	121.72	106.031	-0.199089	0.62755
	surA	189.931	186.327	-0.0276424	0.95655	316.195	314.576	-0.00740206	0.98755
	surE	109.535	106.173	-0.0449723	0.9565	26.2794	21.8101	-0.268936	0.8448
	sxy	14.867	12.8303	-0.212552	0.8092	9.76726	10.6041	0.118595	0.89325
	syd	17.9327	17.2557	-0.0555182	0.8817	70.1679	66.5169	-0.0770888	0.8482
	symE	12.2742	10.4479	-0.23241	0.5985	10.6999	20.2426	0.919799	0.1195
	tabA	15.3916	18.8462	0.292127	0.4473	81.6508	93.4257	0.194352	0.634
	tadA	54.146	43.0746	-0.330017	0.44075	24.9806	25.9969	0.0575321	0.91125
	tag	14.9502	14.6362	-0.0306166	0.97975	29.6186	30.8904	0.0606553	0.9259
	talA	8.66167	9.9817	0.204641	0.596	23.125	28.9475	0.323986	0.4596
	talB	411.991	420.259	0.0286643	0.94165	2007.57	2029.13	0.015413	0.971
	tam	3.52806	3.20859	-0.136938	0.7529	9.28783	9.83067	0.0819475	0.85955
	tap	0.746154	0.374938	-0.992821	1	0.00103829	0.121818	6.87438	1
	tar	0.568455	0.364947	-0.63936	0.379	0.129077	0.118293	-0.125864	1
	tar	0.438435	0.323745	-0.437502	1	0.061373	0.16354	1.41397	1
	tas	31.0243	32.9545	0.0870758	0.80035	97.687	101.449	0.0545158	0.88685
	tatA	666.468	633.066	-0.0741816	0.8276	4867.34	4002.95	-0.282072	0.4783
	tatB	221.194	203.173	-0.122603	0.7207	169.174	144.423	-0.228206	0.5589
	tatC	135.207	127.317	-0.086749	0.8084	27.3636	23.4564	-0.222275	0.6013
	tatD	28.481	24.9864	-0.188857	0.7062	22.4911	20.4358	-0.138259	0.83395
	tatE	686.063	605.814	-0.179465	0.61335	1779.79	1951.79	0.133092	0.74785
	tauA	1.51144	1.04041	-0.538769	0.2557	0.102079	0.207821	1.02565	1
	tauB	2.1406	1.13916	-0.91005	0.3115	0.07933	0.0657811	-0.270194	1
	tauC	2.25114	1.42428	-0.660426	0.41845	0.0542804	0.371415	2.77453	0.2975
	tauD	3.56941	3.7807	0.0829675	0.87925	0.647924	0.591577	-0.131258	0.88925
	tdcA	48.9346	42.1539	-0.215188	0.52115	95.4054	74.1231	-0.364149	0.35845
	tdcB	34.4832	22.894	-0.590925	0.1079	198.072	128.634	-0.622761	0.14345
	tdcC	20.4661	15.3229	-0.417545	0.2707	32.587	19.7554	-0.722049	0.07765
	tdcD	7.68481	5.49988	-0.48261	0.2226	14.1885	10.6005	-0.420589	0.36125
	tdcE	3.69372	2.83432	-0.382071	0.31255	2.63925	2.69267	0.0289123	0.94955
	tdcF	7.92486	7.85975	-0.0119029	0.97945	11.1075	12.0505	0.117553	0.8302
	tdcG	7.20046	6.72456	-0.0986484	0.7911	1.37508	1.12318	-0.291918	0.61415
	tdcR	0.48711	0.202133	-1.26894	0.3583	1.21292	0.63556	-0.932384	0.4668
	tdh	342.774	331.232	-0.0494124	0.8947	570.091	539.725	-0.0789679	0.84565
	tdk	21.6895	24.5555	0.179046	0.63355	139.193	116.511	-0.256623	0.523
	tehA	10.4544	12.6099	0.270447	0.5392	6.47355	6.15412	-0.0730046	0.9488
	tehB	12.4885	12.7912	0.034557	0.95485	92.6498	92.9146	0.00411832	0.9924
	tesA	36.3394	38.2523	0.074013	0.9005	17.2513	16.0221	-0.106635	0.869
	tesB	33.0608	35.5605	0.105156	0.7588	43.7282	57.2836	0.389557	0.3322
	tesC	9.84207	9.52664	-0.0469948	0.91035	10.3464	11.0678	0.097237	0.8623
	tfaD	1.44449	1.17209	-0.301481	0.59535	0.53591	0.386211	-0.472602	0.6878
	tfaE	1.92261	1.9858	0.0466569	0.92705	0.828826	0.587533	-0.496398	0.6123
	tfaP	0.128611	0.210525	0.710973	1	0.0216287	0	#NAME?	1
	tfaQ	1.80875	1.72271	-0.0703103	0.9322	1.48842	1.30108	-0.194072	0.8224
	tfaR	1.21178	0.560964	-1.11115	0.4016	0.207518	0.555373	1.42022	0.43925
	tfaS	29.413	27.6444	-0.08947	0.84615	4.90916	6.29307	0.358288	0.7882
	tgt	100.696	94.8262	-0.0866472	0.80635	88.3007	63.1401	-0.483868	0.21965
	thiB	24.332	22.2766	-0.12733	0.8486	21.1306	18.9229	-0.159198	0.75105
	thiC	4.77041	4.57714	-0.0596669	0.9034	0.73629	1.02208	0.473169	0.50365
	thiD	6.71025	6.15754	-0.124011	0.81515	3.66722	4.27011	0.219587	0.76255
	thiE	7.31452	6.58432	-0.151728	0.8556	0.91404	1.51362	0.727678	0.58475
	thiF	6.526	6.11813	-0.0931096	0.90135	0.869623	1.06879	0.297516	0.80445
	thiG	4.86098	5.14508	0.0819466	0.8903	2.4058	2.33766	-0.0414529	0.94865
	thiH	4.40302	4.61646	0.0682938	0.8851	0.509349	0.632337	0.312039	0.7738
	thiI	37.9798	34.4937	-0.138901	0.6847	43.1746	34.3299	-0.330716	0.4013
	thiK	45.9835	58.1645	0.339022	0.33945	2.71789	3.80309	0.484685	0.43505
	thiL	12.3556	10.4372	-0.24342	0.678	12.5803	10.56	-0.252549	0.61945
	thiM	8.16041	7.38893	-0.143277	0.77415	5.89019	3.97777	-0.566353	0.39565
	thiP	19.886	17.7449	-0.164352	0.7764	1.87206	2.29401	0.293244	0.8168
	thiQ	19.5208	16.2996	-0.260172	0.7711	5.89108	6.13676	0.0589441	0.9588
	thiS	22.8428	23.9271	0.0669081	0.96845	1.10852	1.82215	0.717007	0.78645
	thrA	23.2936	28.4083	0.286375	0.4099	9.82739	9.02715	-0.122538	0.7689
	thrB	50.6123	60.8997	0.266947	0.43525	5.6324	6.21963	0.143078	0.77025
	thrC	47.8792	57.3184	0.2596	0.45275	34.9089	41.572	0.25202	0.52665
	thrS	558.495	528.529	-0.0795616	0.84885	350.517	321.655	-0.12397	0.7595
	thyA	51.7882	52.4321	0.0178262	0.95815	66.9334	49.3123	-0.440778	0.27725
	tig	939.039	795.759	-0.238853	0.5776	3208.57	2827	-0.182659	0.70385
	tilS	15.107	15.3693	0.0248328	0.94575	8.94024	9.77612	0.128949	0.77225
	tktA	638.616	585.1	-0.126267	0.77255	1748.49	1434.35	-0.285712	0.5457
	tktB	7.42749	7.55785	0.0251001	0.9455	8.30869	9.79226	0.237021	0.58595
	tldD	69.9516	70.8455	0.0183193	0.95705	80.4337	77.7574	-0.0488187	0.90045
	tmcA	26.8946	26.3255	-0.0308536	0.93185	4.27843	3.80444	-0.169399	0.7068
	tmk	108.71	91.9104	-0.242186	0.65725	70.1376	61.2997	-0.194309	0.728
	tnaA	1339.56	1332.86	-0.00723222	0.991	0	6179.07	0	1
	tnaB	41.658	50.5393	0.278812	0.4387	26.1893	24.6886	-0.0851338	0.8508
	tolA	68.6859	60.4524	-0.184214	0.60295	24.2199	24.3003	0.00477926	0.99035
	tolB	197.371	210.191	0.0907933	0.79935	274.649	259.12	-0.0839677	0.83325
	tolC	126.201	122.952	-0.0376361	0.9274	471.34	429.978	-0.132505	0.7782
	tolQ	58.2912	55.0711	-0.0819809	0.81695	62.879	51.8208	-0.279044	0.49285
	tolR	94.8136	85.0988	-0.155954	0.65625	53.1999	48.9912	-0.118902	0.78395
	tomB	40.1191	35.2211	-0.187849	0.63025	11.7065	8.0315	-0.543572	0.3373
	tonB	28.5981	46.6961	0.707386	0.0528	18.6714	32.5009	0.79965	0.06625
	topA	125.09	131.271	0.0695779	0.85615	97.4491	104.206	0.0967226	0.80775
	topB	81.811	84.2305	0.0420487	0.9072	22.4376	21.6163	-0.053793	0.8906
	torA	2.71625	2.37524	-0.193543	0.70695	0.430932	0.496361	0.203931	0.77875
